Runtime: 0.083s
Pearllengths in mm: 6,8,10,11,20
Messagelength in mm: 34455171
Ͽ: [4]
◊: [3,4]
⁞: [3,3,4]
~: [3,3,3]
≵: [3,3,2]
Ŧ: [3,3,1,4]
Ӯ: [3,3,1,3]
≯: [3,3,1,2,4]
⇉: [3,3,1,2,3]
⚑: [3,3,1,2,2]
ҍ: [3,3,1,2,1,4]
ý: [3,3,1,2,1,3]
≒: [3,3,1,2,1,2]
֯: [3,3,1,2,1,1]
♬: [3,3,1,2,1,0]
⚺: [3,3,1,2,0,4]
ṵ: [3,3,1,2,0,3]
⏐: [3,3,1,2,0,2]
⊄: [3,3,1,2,0,1]
Б: [3,3,1,2,0,0]
⊛: [3,3,1,1,4]
Ϲ: [3,3,1,1,3]
Ӫ: [3,3,1,1,2]
∬: [3,3,1,1,1,4]
⸖: [3,3,1,1,1,3]
Л: [3,3,1,1,1,2]
♎: [3,3,1,1,1,1]
↢: [3,3,1,1,1,0]
⍈: [3,3,1,1,0]
β: [3,3,1,0]
⇝: [3,3,0,4]
♲: [3,3,0,3,4]
Ӿ: [3,3,0,3,3]
ί: [3,3,0,3,2,4]
∑: [3,3,0,3,2,3]
Ǽ: [3,3,0,3,2,2]
⸷: [3,3,0,3,2,1]
ⅅ: [3,3,0,3,2,0]
Ả: [3,3,0,3,1,4]
ỳ: [3,3,0,3,1,3]
┙: [3,3,0,3,1,2]
⏿: [3,3,0,3,1,1]
┷: [3,3,0,3,1,0]
╷: [3,3,0,3,0,4]
▷: [3,3,0,3,0,3]
⌊: [3,3,0,3,0,2]
◗: [3,3,0,3,0,1]
ḽ: [3,3,0,3,0,0]
◎: [3,3,0,2,4]
χ: [3,3,0,2,3]
ơ: [3,3,0,2,2,4]
Ẓ: [3,3,0,2,2,3]
⛃: [3,3,0,2,2,2]
↱: [3,3,0,2,2,1]
♈: [3,3,0,2,2,0]
►: [3,3,0,2,1,4]
2: [3,3,0,2,1,3]
‥: [3,3,0,2,1,2]
ȇ: [3,3,0,2,1,1]
Ӭ: [3,3,0,2,1,0]
◉: [3,3,0,2,0]
g: [3,3,0,1,4]
ȭ: [3,3,0,1,3]
Ή: [3,3,0,1,2,4]
∈: [3,3,0,1,2,3]
ò: [3,3,0,1,2,2]
Ĕ: [3,3,0,1,2,1]
ώ: [3,3,0,1,2,0]
Ƣ: [3,3,0,1,1]
ẝ: [3,3,0,1,0,4]
⌶: [3,3,0,1,0,3]
≩: [3,3,0,1,0,2]
⍋: [3,3,0,1,0,1]
⛕: [3,3,0,1,0,0]
⸮: [3,3,0,0]
☪: [3,2]
▤: [3,1,4]
≆: [3,1,3,4]
Ɀ: [3,1,3,3]
